sitios;Lat;Long;Rangos Prof.;Región;T ;Sal;Den;O2%;Chla;Ptrars;Orthyc;Gzolvc;Nclncs;Arczbr;Mcmtnt;Trgnca;Lvcrds;Xnphrl;Nclnac;Prpmsd;Tllnpr;Csmsp.;Abrlng;Plystt;Nmcrdt;Pctnch;Aqpctl;Nldltt;Nmcrdp;Brbtcn;Llsp.1;Lptchb;Prtlnn;Lvdntc;Tllnpr;Smrsst;Ccclnm;Prmymr;Mcmpsd;Lvcrdl;Tllnmr;Nclplc;Clyptc;Prmyrs;Scphwr;Flgrfb;Nsssp.;Nelsp.;Mlnclr;Nclnvt;Tllnjt;Lcsyrv;Crdmyp;Plrbri;Ntcrth;Nclsp.;Cccsp.;Lvcrdp;Antsp.;Tndrcy;Cmpsdg;Orthys;Pzllor;Sirtsb;Entlnp;Ccclnr;Dntlma;Cplsp.
32;9,82;-76,27;370-550;S;8,9123333;34,950568;29,377525;5,05;0,006818182;0;0;1;0;0;0;0;0;1;0;16;0;0;0;0;0;0;0;3;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;9,46;-76,43;370-550;S;8,842875;34,946386;29,39955;5,04875;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;8;0;0;0;0;0;0;0;3;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;2;0;0
34;9,27;-76,48;200-330;S;14,111917;35,753705;28,07617;5,4095833;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2;3;0;0;0;0;0;0;0;7;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
35;9,04;-76,61;200-330;S;13,563417;35,661886;28,185345;5,3404167;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;5;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;8;0;0;0;0;0;0;0;0;1;0;0
36;9,51;-76,45;200-330;S;14,229167;35,764295;28,054322;5,405;0;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0;0;0;1;0;0;0;10;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;9,31;-76,49;370-550;S;9,3724583;35,019568;29,284614;5,0258333;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;9,09;-76,62;370-550;S;12,134958;35,430068;28,522825;5,1420833;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;11,38;-73,74;370-550;N;8,8942917;34,938568;29,321733;5,1895833;0,036363636;0;0;0;0;0;1;0;0;0;0;23;0;0;0;0;0;0;0;83;0;0;0;10;0;0;0;0;0;9;0;0;0;0;0;0;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;14;0;0
41;9,79;-76,29;200-330;N;13,893375;35,708614;28,088753;5,3458333;0;0;0;0;0;0;0;0;0;0;4;0;0;0;70;0;0;0;0;0;3;0;0;2;0;19;0;6;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;26;0;0;0;1;1;0;0;0
42;9,75;-76,26;370-550;S;8,7319583;34,931932;29,438512;5,05;0,002272727;28;0;0;1;0;8;0;0;0;0;0;11;129;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
43;12,48;-71,7;200-330;S;14,634375;35,833955;27,956793;5,47;0;1;76;0;2;0;30;1;0;0;0;0;2;3;0;1;3;0;8;0;0;58;13;0;0;0;18;0;0;0;1;0;0;0;4;0;0;0;5;0;0;2;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0
44;12,49;-71,73;20-90;N;25,2747;36,80706;24,71349;6,983818;0,5;0;175;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;8;0;3;0;0;0;1;7;0;0;1;0;0;0;0;0;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;12,51;-71,75;20-90;N;22,92017;36,8465;25,66913;5,881363;0,3090909;0;0;0;0;0;0;0;1;0;0;0;0;0;8;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
46;12,12;-72,66;100-150;N;19,73333;36,60398;26,7142;5,721137;0,1;0;0;0;0;1;0;0;111;0;0;0;10;1;0;0;18;17;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
47;12,06;-72,64;100-150;N;19,26725;36,534136;26,788175;5,67;0,1;9;0;0;0;58;0;0;0;0;2;0;13;0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;2;0;0;0;0;0
